url	grade	group
https://shop.taobao.com/	2	all
https://www.moe.edu.cn/item/3159	3	all
https://www.zhihu.com/user/3921/posts	1	all
https://news.sina.com.cn/video/678	2	all
https://www.hknews.cn/user/538/posts	1	all
https://www.example.com/news/4043	1	all
https://edu.example.edu.com/news/3770	1	all
https://www.zhihu.com/	2	all
https://www.ucla.edu/list?page=4702	1	all
https://www.bendibao.com/forum/thread-2525	1	all
https://edu.example.edu.com/article/2600.html	1	all
https://baike.baidu.com/item/3524	3	all
https://www.gov.cn/item/4938	3	all
https://www.example.com/user/4739/posts	1	all
https://www.moe.edu.cn/u/1921	3	all
https://www.zhihu.com/item/3330	2	all
https://www.bendibao.com/	1	all
https://news.sina.com.cn/u/1577	2	all
https://music.163.com/news/3649	1	all
https://www.zhihu.com/item/3705	2	all
https://www.zhihu.com/forum/thread-1972	1	all
https://www.smallsite.net/	1	all
https://music.163.com/news/525	1	all
https://www.zhihu.com/user/1862/posts	1	all
https://blog.csdn.net/article/1658.html	1	all
https://music.163.com/list?page=1245	1	all
https://www.zhihu.com/video/2384	2	all
https://www.bendibao.com/list?page=1772	1	all
https://edu.example.edu.com/news/2951	1	all
https://blog.csdn.net/forum/thread-1274	1	all
https://www.moe.edu.cn/u/3400	3	all
https://www.hknews.cn/u/257	1	all
https://blog.csdn.net/news/2214	1	all
https://blog.csdn.net/item/598	2	all
https://www.ucla.edu/list?page=1405	1	all
https://shop.taobao.com/u/242	1	all
https://www.ucla.edu/user/2097/posts	1	all
https://www.hknews.cn/list?page=416	1	all
https://www.zhihu.com/user/2652/posts	1	all
https://music.163.com/u/4840	1	all
https://tieba.baidu.com/	2	all
https://tieba.baidu.com/item/2932	2	all
https://www.zhihu.com/news/1038	2	all
https://www.hknews.cn/forum/thread-859	1	all
https://news.sina.com.cn/forum/thread-9	2	all
https://www.example.com/forum/thread-1893	1	all
https://www.moe.edu.cn/	3	all
https://music.163.com/forum/thread-3765	1	all
https://music.163.com/news/4436	2	all
https://spam.example.org/video/4973	1	all
https://edu.example.edu.com/list?page=535	1	all
https://tieba.baidu.com/list?page=1869	1	all
https://news.sina.com.cn/	2	all
https://www.bendibao.com/	1	all
https://shop.taobao.com/video/1094	2	all
https://www.hknews.cn/item/3755	1	all
https://www.gov.cn/article/682.html	4	all
https://www.example.com/item/3496	1	all
https://tieba.baidu.com/list?page=4716	1	all
https://www.moe.edu.cn/list?page=2496	3	all
https://www.hknews.cn/	2	all
https://music.163.com/item/1093	1	all
https://www.zhihu.com/u/2876	1	all
https://www.smallsite.net/article/1299.html	1	all
https://www.zhihu.com/article/4482.html	2	all
https://www.gov.cn/forum/thread-172	3	all
https://www.ucla.edu/forum/thread-1920	2	all
https://spam.example.org/forum/thread-4645	1	all
https://music.163.com/article/3864.html	2	all
https://blog.csdn.net/	1	all
https://shop.taobao.com/item/3290	2	all
https://www.zhihu.com/forum/thread-2438	1	all
https://music.163.com/item/4964	1	all
https://www.bendibao.com/u/2680	0	all
https://www.gov.cn/user/404/posts	3	all
https://www.bendibao.com/news/206	1	all
https://www.hknews.cn/article/3905.html	2	all
https://www.smallsite.net/list?page=2791	1	all
https://spam.example.org/user/807/posts	0	all
https://www.zhihu.com/item/2651	1	all
https://www.zhihu.com/u/1431	1	all
https://www.smallsite.net/item/1347	1	all
https://blog.csdn.net/article/877.html	2	all
https://www.moe.edu.cn/list?page=1853	3	all
https://spam.example.org/news/3052	1	all
https://spam.example.org/article/1859.html	1	all
https://www.moe.edu.cn/user/1273/posts	3	all
https://www.bendibao.com/video/1975	1	all
https://spam.example.org/forum/thread-3687	1	all
https://spam.example.org/video/2412	1	all
https://spam.example.org/video/723	1	all
https://www.moe.edu.cn/item/2106	3	all
https://www.gov.cn/article/978.html	3	all
https://www.zhihu.com/video/2180	1	all
https://www.gov.cn/item/602	3	all
https://www.gov.cn/u/285	3	all
https://www.example.com/list?page=190	1	all
https://www.example.com/user/2996/posts	1	all
https://www.bendibao.com/video/2573	1	all
https://www.bendibao.com/forum/thread-4203	1	all
https://www.example.com/forum/thread-901	1	all
https://www.smallsite.net/article/2841.html	1	all
https://www.hknews.cn/u/2930	1	all
https://www.bendibao.com/video/1883	1	all
https://music.163.com/list?page=4540	1	all
https://www.ucla.edu/	2	all
https://www.example.com/video/2145	1	all
https://www.moe.edu.cn/news/4083	3	all
https://www.smallsite.net/user/2908/posts	1	all
https://www.ucla.edu/list?page=3091	1	all
https://blog.csdn.net/item/856	2	all
https://www.example.com/	1	all
https://www.bendibao.com/news/3809	2	all
https://edu.example.edu.com/video/3409	1	all
https://www.gov.cn/u/4974	3	all
https://edu.example.edu.com/list?page=4181	1	all
https://www.gov.cn/item/4745	3	all
https://tieba.baidu.com/forum/thread-1939	1	all
https://news.sina.com.cn/	2	all
https://www.ucla.edu/video/3362	2	all
https://music.163.com/article/1591.html	2	all
https://spam.example.org/article/3556.html	1	all
https://www.moe.edu.cn/forum/thread-4116	3	all
https://shop.taobao.com/	2	all
https://news.sina.com.cn/news/199	2	all
https://www.ucla.edu/user/1611/posts	1	all
https://www.moe.edu.cn/article/2946.html	3	all
https://www.smallsite.net/u/2766	1	all
https://blog.csdn.net/news/1798	2	all
https://www.example.com/article/3359.html	1	all
https://spam.example.org/user/830/posts	1	all
https://www.hknews.cn/forum/thread-3637	1	all
https://www.zhihu.com/news/1353	2	all
https://www.gov.cn/video/4154	3	all
https://baike.baidu.com/article/1496.html	3	all
https://music.163.com/article/774.html	2	all
https://music.163.com/list?page=2933	1	all
https://www.moe.edu.cn/forum/thread-647	2	all
https://www.smallsite.net/video/1164	1	all
https://music.163.com/video/4582	2	all
https://www.zhihu.com/user/2022/posts	1	all
https://shop.taobao.com/article/952.html	2	all
https://edu.example.edu.com/	1	all
https://www.zhihu.com/user/465/posts	1	all
https://news.sina.com.cn/news/232	2	all
https://music.163.com/user/876/posts	1	all
https://www.smallsite.net/item/3813	1	all
https://blog.csdn.net/item/2981	2	all
https://www.example.com/video/4948	1	all
https://spam.example.org/user/669/posts	1	all
https://www.hknews.cn/u/4013	1	all
https://music.163.com/	2	all
https://baike.baidu.com/list?page=4921	3	all
https://baike.baidu.com/list?page=4845	2	all
https://tieba.baidu.com/	2	all
https://tieba.baidu.com/	2	all
https://blog.csdn.net/u/4145	1	all
https://www.ucla.edu/article/965.html	2	all
https://baike.baidu.com/video/945	3	all
https://www.moe.edu.cn/u/3242	3	all
https://www.gov.cn/list?page=3099	3	all
https://www.example.com/user/3695/posts	1	all
https://news.sina.com.cn/video/4907	2	all
https://www.hknews.cn/news/815	1	all
https://tieba.baidu.com/list?page=1298	1	all
https://www.moe.edu.cn/video/2436	4	all
https://www.ucla.edu/u/3500	1	all
https://www.hknews.cn/video/606	1	all
https://www.gov.cn/user/2330/posts	3	all
https://www.gov.cn/news/1079	3	all
https://www.moe.edu.cn/item/689	3	all
https://www.bendibao.com/news/161	1	all
https://www.bendibao.com/video/2353	1	all
https://www.smallsite.net/forum/thread-2150	1	all
https://blog.csdn.net/article/3907.html	1	all
https://www.hknews.cn/user/2773/posts	0	all
https://blog.csdn.net/	1	all
