url_a	url_b	pref	group
https://edu.example.edu.com/user/1822/posts	https://edu.example.edu.com/video/2033	b	head
https://www.moe.edu.cn/article/2623.html	https://www.zhihu.com/list?page=2935	a	head
https://news.sina.com.cn/	https://blog.csdn.net/article/401.html	a	head
https://tieba.baidu.com/user/4023/posts	https://www.gov.cn/news/2299	b	head
https://www.gov.cn/	https://www.gov.cn/	tie	head
https://www.hknews.cn/	https://shop.taobao.com/user/1718/posts	a	tail
https://news.sina.com.cn/u/189	https://www.ucla.edu/news/2461	b	tail
https://www.smallsite.net/item/4038	https://www.example.com/u/730	a	head
https://www.smallsite.net/item/3261	https://www.moe.edu.cn/	b	tail
https://www.example.com/	https://www.moe.edu.cn/item/388	b	head
https://www.gov.cn/forum/thread-3537	https://www.gov.cn/news/3965	tie	head
https://baike.baidu.com/list?page=508	https://shop.taobao.com/forum/thread-2174	a	tail
https://shop.taobao.com/forum/thread-781	https://baike.baidu.com/list?page=3361	b	head
https://shop.taobao.com/list?page=4155	https://www.gov.cn/news/3115	b	tail
https://www.example.com/forum/thread-3365	https://tieba.baidu.com/	b	tail
https://www.gov.cn/list?page=4388	https://shop.taobao.com/forum/thread-654	a	tail
https://www.example.com/list?page=4505	https://tieba.baidu.com/video/1430	b	head
https://www.hknews.cn/u/1073	https://www.gov.cn/video/3997	b	tail
https://baike.baidu.com/list?page=4116	https://blog.csdn.net/user/3682/posts	a	tail
https://www.zhihu.com/article/2585.html	https://edu.example.edu.com/user/3061/posts	a	head
https://www.moe.edu.cn/user/561/posts	https://edu.example.edu.com/forum/thread-4712	a	tail
https://blog.csdn.net/user/1798/posts	https://www.smallsite.net/user/1273/posts	b	tail
https://www.smallsite.net/video/2176	https://edu.example.edu.com/	tie	tail
https://www.moe.edu.cn/	https://www.smallsite.net/video/993	a	tail
https://www.hknews.cn/forum/thread-3830	https://www.example.com/news/2626	b	tail
https://spam.example.org/news/1605	https://www.example.com/article/1149.html	b	tail
https://shop.taobao.com/	https://tieba.baidu.com/news/4830	a	head
https://blog.csdn.net/item/2662	https://www.bendibao.com/list?page=3299	tie	head
https://www.smallsite.net/	https://www.zhihu.com/forum/thread-504	b	head
https://www.bendibao.com/	https://www.moe.edu.cn/list?page=3079	b	head
https://tieba.baidu.com/list?page=382	https://music.163.com/news/4440	tie	head
https://www.ucla.edu/list?page=2783	https://edu.example.edu.com/item/2941	tie	head
https://baike.baidu.com/article/1053.html	https://edu.example.edu.com/u/3554	a	tail
https://www.gov.cn/user/403/posts	https://shop.taobao.com/forum/thread-654	a	tail
https://music.163.com/item/1476	https://music.163.com/user/4188/posts	a	tail
https://www.moe.edu.cn/	https://www.moe.edu.cn/news/457	tie	head
https://www.bendibao.com/list?page=3776	https://www.example.com/article/2604.html	b	head
https://www.gov.cn/list?page=3572	https://www.smallsite.net/forum/thread-2444	a	head
https://blog.csdn.net/list?page=2304	https://www.gov.cn/article/4594.html	b	tail
https://www.zhihu.com/article/2030.html	https://www.hknews.cn/list?page=2933	a	head
https://music.163.com/list?page=1906	https://www.moe.edu.cn/article/2623.html	b	tail
https://baike.baidu.com/user/3837/posts	https://baike.baidu.com/item/305	b	tail
https://baike.baidu.com/item/1722	https://www.smallsite.net/video/4573	a	head
https://www.smallsite.net/forum/thread-842	https://blog.csdn.net/news/831	b	tail
https://www.zhihu.com/item/2425	https://www.gov.cn/list?page=4876	b	tail
https://baike.baidu.com/article/3148.html	https://tieba.baidu.com/item/698	a	tail
